Uniprot	Genename
A0A060WNV0	GSONMT00075013001
A0A1S3SM99	LOC106610596
A0A060WP45	GSONMT00076130001
A0A1S3S4I1	LOC106607160
A0A1S3R198	LOC106598984
A0A060VSJ1	scrn3
A0A060WKD6	LOC110532545
A0A060VVF4	LOC110503678
A0A1S3PNW8	lcp1
A0A060Y8Q4	GSONMT00057985001
B5X393	EPD
A0A060XDD2	GSONMT00005974001
A0A1S3RVK1	LOC106605051
B5X0X8	SPEB
A0A1S3SFF8	LOC106609131
A0A1S3PKG5	LOC106585935
A0A060W8A9	GSONMT00069375001
A0A060XWL1	GSONMT00054331001
A0A060WEL4	GSONMT00073583001
A0A1S3RET0	snap23
A0A1S3N6U9	LOC106577499
A0A060X1Y8	GSONMT00049606001
B5DFU6	rps13
A0A1S3RI14	LOC106603170
A0A1S3PX51	LOC106588074
A0A060VZH2	GSONMT00077638001
A0A060XSF9	GSONMT00051860001
B5X1A0	CPSF3
A0A060WV39	GSONMT00049619001
A0A060ZF70	GSONMT00037771001
A0A060W5Q3	GSONMT00067173001
A0A060WQ66	VAPA
A0A060X7C2	LOC110499170
B5X1H4	NHLC3
A0A1S3R0S1	fam151a
A0A060WEW2	GSONMT00073519001
A0A1S3LH13	LOC106566382
A0A1S3MXC8	LOC106575426
A0A060XII9	GSONMT00053239001
A0A1S3NE47	LOC106578779
A0A1S3QFS5	LOC106591612
A0A1S3R9Z3	LOC106601338
A0A060VPL0	GSONMT00066480001
A0A060XJX9	GSONMT00008794001
W5S1H1	LOC110524636
A0A1S3Q0S9	LOC106588750
A0A1S3LED9	LOC106565827
A0A1S3SLC2	LOC106610329
A0A1S3T0F4	LOC106612640
C0H9E1	ACTY
A0A060XMR2	GSONMT00035675001
C1BFH7	UB2D1
A0A060WJ68	GSONMT00072917001
B5X2F8	TMM33
A0A1S3KIC7	LOC106560231
B5XGT2	RPE
A0A060XRI0	LOC110495813
A0A1S3P1I0	LOC106582657
A0A1S3MGT7	ada
B5XBS7	RT35
A0A1S3QPI7	LOC106594457
A0A1S3NBR3	LOC106578501
A0A060W9R9	GSONMT00070382001
C0H8T1	HNRPG
B5X5D8	PSA3
A0A060Y611	GSONMT00044871001
A0A1S3M6M0	LOC106570670
A0A1S3P5Z1	LOC106583413
B5X6D3	RL10
B5X4K8	RD23A
A0A060XNR6	LOC110537912
A0A060X1H0	GSONMT00055592001
A0A060XMI6	LOC110517847
A0A060XCG7	GSONMT00060291001
A0A1S3NPW7	LOC106580678
A0A060VVS6	GSONMT00079200001
A0A1S3MJL4	LOC106572991
A0A060ZFS0	GSONMT00008408001
B5X1R6	V26BB
A0A060Z302	GSONMT00005401001
A0A060WMD0	GSONMT00003628001
A0A060YX66	GSONMT00007885001
A0A060ZH95	GSONMT00011677001
A0A060XQ11	GSONMT00005022001
A0A1S3NIX5	LOC106579627
A0A060WS69	GSONMT00006085001
A0A060VSQ1	LOC110501541
A0A060YYA7	GSONMT00023420001
A0A1S3Q8U3	LOC106590187
A0A1S3ME92	LOC106572092
B5X3Z4	SFRS2
A0A060XAI2	LOC110530238
A0A1S3QML0	LOC106594447
A0A060YZB1	GSONMT00054415001
B5X0Q5	ABCE1
A0A060XUU9	LOC110509084
A0A060YV08	GSONMT00054689001
A0A060XEX6	GSONMT00035681001
A0A1S3ND94	LOC106578800
B5X0W4	EIF3I
A0A060WUV1	GSONMT00030641001
A0A1S3SBS3	LOC106608403
A0A060XQ99	GSONMT00037678001
A0A060YMY3	GSONMT00002714001
A0A060YLB5	GSONMT00024730001
A0A1S3S1N7	trap1
A0A060WUI9	GSONMT00026318001
A0A1S3SBN7	LOC106608373
A0A1S3M1C3	LOC106569767
A0A060WUS8	LOC110521892
A0A060XVS6	GSONMT00054357001
A0A1S3QLB6	LOC106593347
A0A1S3SJ27	LOC106609848
A0A060YML6	GSONMT00000190001
A0A1S3Q6L8	LOC106589505
A0A1S3NDV8	LOC106578751
A0A1S3N5I4	LOC106577249
A0A1S3LW41	LOC106568712
A0A1S3L2T7	LOC106563782
A0A060YFW7	GSONMT00023338001
A0A060Y9U0	LOC110496662
A0A1S3MKN6	LOC106573324
A0A1S3MXS7	LOC106575741
A0A060WRU9	GSONMT00034373001
A0A1S3QMC6	LOC106593687
A0A060WRC2	GSONMT00002102001
A0A1S3PTC8	LOC100196237
B5X2Y1	STAU1
A0A1S3QD62	LOC106591203
A0A1S3PU63	LOC106587404
B5X0W0	PP1G
Q9DF27	rs11
A0A060XTV6	surf6
A0A060VYW1	LOC110530936
A0A060YET7	GSONMT00018191001
A0A1S3N267	eif3a
A0A1S3SKZ9	LOC106610280
M4V3H3	rpl27a
A0A060Z8E0	GSONMT00013523001
A0A1S3NGK9	rhot2
Q8AY40	PGMRC1
A0A060VNI9	GSONMT00078945001
A0A060VYY9	GSONMT00077292001
A0A1S3NDU2	LOC106578871
A0A060XVT4	GSONMT00025153001
C1BHM7	UCRH
A0A060XBK6	GSONMT00058078001
A0A060W1Z9	GSONMT00064820001
A0A060VUE0	GSONMT00078119001
C1BG90	CYC
A0A1S3ME41	LOC106572119
A0A060W5W9	GSONMT00067288001
O57560	LOC100136353
A0A060XJH8	LOC110520215
A0A1S3PN75	LOC106586224
A0A1S3N6W3	LOC106577505
A0A1S3PSZ8	LOC106587025
A0A1S3MXP7	acadl
A0A1S3R6K9	LOC106600554
A0A060WZJ5	LOC110496006
A0A1S3PM70	LOC106586249
A0A060WWK8	GSONMT00025926001
C0HAX3	TPRGL
A0A1S3T143	LOC106613013
A0A1S3QAK7	LOC106590473
A0A1S3M8Y5	pum2
B5DFW1	CYC
B5X1I8	STT3A
A0A060Y230	GSONMT00054697001
A0A1S3L6V3	LOC106564808
A0A060W315	GSONMT00080247001
A0A1S3RUB4	LOC106605098
B5DGN6	CALM
B9EQ84	PSD7
A0A060XZN3	GSONMT00004737001
A0A1S3QLZ3	LOC106594242
A0A060VPS4	LOC110522278
C1BHQ8	STX7
A0A060W3T7	bpnt1
A0A060YUE9	GSONMT00061967001
A0A1S3N5W6	LOC106577393
A0A060X5Y8	GSONMT00005975001
A0A1S3L1U2	LOC106563584
C0HAW0	PABP2
A0A060YH48	GSONMT00050448001
A0A1S3QPS8	pgm2
A0A060YCH4	GSONMT00028539001
C0H944	OLA1
E2JDK0	COI
A0A1S3SA94	LOC106608082
A0A1S3Q213	LOC106588950
A0A1S3RNK4	dlat
A0A060YRY8	GSONMT00009326001
A0A1S3S0N0	LOC106606197
B5X2M2	PHB
A0A1S3MVJ3	LOC100196679
A0A060WH87	GSONMT00075260001
A0A060W299	GSONMT00064595001
B9EMB8	SORCN
A0A1S3Q7N2	LOC106589959
A0A060WPL1	GSONMT00006520001
A0A060XUI2	GSONMT00015207001
A0A060W4N0	GSONMT00081268001
A0A060XAZ2	LOC110488128
A0A060WYS8	GSONMT00036751001
A0A060XD10	ech1
A0A060VME1	LOC110492337
A0A1S3NFJ3	LOC106579145
A0A1S3S208	LOC106606501
A0A1S3MXW7	LOC106575774
A0A060YPJ7	GSONMT00030843001
A0A1S3RH92	LOC106603049
A0A060VUM7	GSONMT00070897001
A0A1S3MWB6	LOC106575510
A0A060XZP1	GSONMT00031983001
A0A060Y826	cdhr5
A0A060YCV8	GSONMT00025242001
A0A1S3SAS8	LOC100380634
A0A1S3KSW7	LOC106561714
A0A060XKT0	GSONMT00028616001
A0A060WDB3	GSONMT00072651001
A0A060WYY7	GSONMT00048089001
A0A060XL70	GSONMT00055995001
A0A060Y157	LOC110494694
A0A1S3P4R0	LOC106583177
A0A1S3KT40	LOC106561944
A0A1S3P8J2	LOC106583822
A0A060X4J6	GSONMT00063090001
A0A1S3NE15	LOC106578930
A0A060WZC3	GSONMT00023914001
A0A1S3R6D4	LOC100380640
A0A060X2X1	LOC110498145
A0A1S3NP26	LOC106580446
A0A060YDH1	GSONMT00063882001
A0A1S3R2C0	LOC106599730
A0A1S3PK88	ube2l3
A0A060WJM8	GSONMT00008715001
A0A1S3MB10	LOC100380665
A0A060WHE7	GSONMT00070155001
A0A1S3NTS8	LOC106581335
A0A1S3KJD2	stxbp3
A0A1S3SVN7	LOC106612087
A0A060Z222	LOC110498319
A0A060Z4E7	GSONMT00062239001
A0A060XVF4	GSONMT00020946001
A0A060YZQ0	GSONMT00032263001
A0A060X4R9	GSONMT00053541001
A0A060XJ26	WARS1
A0A1S3NTM5	LOC106581197
A0A1S3T6B8	LOC106613901
A0A1S3KL11	LOC106560694
B9EN38	RS17
B5XAS3	GBG5
B5X7L8	ARPC4
A0A1S3PLC2	lct
A0A060XJW5	LOC110521722
B5DG44	ppid
A0A060Y8Q8	EIF3D
A0A060W9G3	GSONMT00070129001
A0A060YNA2	GSONMT00056710001
A0A1S3PCX0	LOC106584548
A0A1S3PN12	LOC106586372
A0A1S3M8V0	prrc1
A0A1S3SJN3	LOC106609996
A0A1S3PX33	LOC106588119
A0A060YGL2	GSONMT00024116001
A0A060XN77	GSONMT00033993001
A0A060W7Z8	GSONMT00069181001
A0A060XAG4	GSONMT00005096001
C0H802	MK03
A0A060Z937	GSONMT00017204001
A0A1S3NII2	LOC106579642
A0A060XMR6	GSONMT00051656001
A0A1S3PTM1	LOC106587298
B5X1Z2	TCPD
A0A060VM33	GSONMT00064123001
A0A1S3RPU8	ddx46
A0A060YAI7	GSONMT00059519001
A0A060Z1G5	GSONMT00058684001
A0A060YQ67	GSONMT00033138001
A0A060YGX0	GSONMT00040684001
A0A060XYJ1	GSONMT00028680001
A0A060YIQ0	GSONMT00018276001
A0A060W540	GSONMT00066634001
A0A1S3M0W3	LOC106569720
A0A1S3KR00	LOC106561504
B5XBM9	NEDD8
A0A060X3F1	GSONMT00023670001
A0A1S3RNB4	LOC106603968
A0A1S3PRD8	LOC106586961
A0A060VZ00	GSONMT00073258001
A0A060XPD3	GSONMT00049149001
A0A060W7E7	GSONMT00068102001
A0A1S3R7J3	LOC106600693
B5DGH4	atp5f1
A0A1S3P8D4	iars
A0A060VUA0	GSONMT00077709001
A0A060YDR8	GSONMT00039520001
A0A060VRT6	rbbp9
A0A1S3REP9	LOC106602595
A0A060VWH0	GSONMT00079646001
A0A060WRD7	GSONMT00002128001
A0A060WZ23	LOC110502567
B5X400	GOSR2
A0A060X3W2	npl
A0A060Y964	GSONMT00005521001
A0A060XKC9	OSGEP
A0A1S3R2H3	LOC106599575
B5X7A7	CC068
A0A060WKB3	GSONMT00005312001
A0A1S3LWF5	LOC106568956
A0A060X194	GSONMT00062208001
A0A060Y7E9	GSONMT00011282001
A0A060YZX8	LOC110510074
A0A1S3RZ78	LOC106606005
A0A060W514	GSONMT00067006001
A0A060WNQ8	GSONMT00042172001
A0A060WE68	GSONMT00073564001
A0A1S3KK49	LOC106560553
A0A1S3SJ00	cpsf6
B5X5L7	H2AZ
A0A1S3SLB3	hadh
A0A1S3RPQ1	LOC106604281
A0A060Y563	GSONMT00011289001
A0A1S3Q4S4	LOC106589447
A0A060XUD9	GSONMT00006998001
A0A1S3PK78	LOC106585736
B5DGZ0	ADT2
Q5FBT4	PSMB9B(b)
A0A1S3N9N3	nagk
A0A060Y904	GSONMT00054539001
A0A1S3SSG3	LOC106611521
A0A060W162	LOC110528975
A0A060WS41	rdh12
A0A060WJ83	GSONMT00076865001
Q9DE53	LMP7
B5X4R2	GNPI
A0A060XSC8	GSONMT00045282001
B5X9C6	ALDR
A0A060YP11	GSONMT00019515001
B9EN56	ELOC
B5X1B5	ENOA
B5XFC5	PFD6
A0A060XII5	AKR1D1
A0A060YCN4	GSONMT00007217001
C0HA77	DPOD1
A0A1S3M6J1	LOC106570844
A0A060YU16	GSONMT00033000001
A0A060WRE4	GSONMT00008680001
A0A060ZDF4	GSONMT00001179001
A7KIL2	RPS18
B5X3D1	GFPT1
A0A060XU64	RETSAT
A0A1S3SM64	LOC106610576
A0A060ZAA8	GSONMT00020749001
A0A1S3SRV4	LOC106611412
A0A060XC52	GSONMT00026181001
A0A1S3RT71	LOC106604909
A0A060VTE6	GSONMT00077768001
A0A060Z0X4	GSONMT00008656001
A0A1S3T4X9	LOC106613672
A0A060Y9K5	GSONMT00025708001
A0A1S3LPX5	LOC106567630
B5X8K0	CALL4
B5X4R7	TKT
A0A060WRT5	GSONMT00048301001
C0H7D2	RL35A
A0A060ZDQ0	GSONMT00059433001
A0A060Y9X3	GSONMT00027335001
A0A060XAB5	GSONMT00051553001
A0A1S3MIC5	fbxo43
A0A1S3RDL8	LOC106602365
A0A1S3M8E1	LOC106571110
A0A060XXN7	GSONMT00037676001
C1BFJ0	PFD4
A0A1S3N873	LOC106577803
A0A1S3SUV5	LOC106611946
A0A060Y9M1	GSONMT00028984001
Q7ZZW1	antiprot1
A0A1S3NPQ8	LOC106580647
A0A060WBS5	GSONMT00071290001
A0A060XMU3	GSONMT00007266001
A0A060W9D3	ACY3
A0A060WPD3	GSONMT00061665001
B5XCG8	PSB7
A0A1S3NDG2	micu1
A0A1S3KJC7	gmds
A0A060W1M5	GSONMT00077952001
A0A1S3NGP0	LOC100380795
A0A060YQU6	GSONMT00025454001
A0A060Z801	GSONMT00046848001
A0A060WQJ8	GSONMT00061440001
A0A1S3SNS3	LOC106610862
B5XAH1	PSDE
B5XB05	RL15
A0A1S3QGL6	LOC106592110
A0A060X9Q7	GSONMT00051565001
A0A060WUZ8	GSONMT00000574001
A0A060XZ88	nars1
A0A1S3M3C2	LOC106570192
A0A1S3SRX5	LOC106611423
A0A1S3SLY2	LOC106610497
A0A1S3SB39	LOC106608238
A0A060YM71	LOC110493450
A0A060X2Q8	LOC110510168
A0A060XMB9	GSONMT00048437001
A0A1S3KKH8	LOC106560627
A0A060X046	LOC110504926
A0A060Y722	GSONMT00040729001
A0A060XBI3	GSONMT00058271001
A0A060WD57	GSONMT00068595001
A0A060Y6B3	GSONMT00026648001
A0A1S3Q2N3	LOC106589071
C1BIA0	DUS23
A0A1S3N615	LOC106577461
A0A1S3P5L3	LOC106583335
A0A060Z023	GSONMT00007747001
A0A060W6K1	GSONMT00067556001
A0A1S3PLM1	LOC106585996
A0A1S3SWJ5	sfxn1
A0A060X291	GSONMT00033720001
A0A060XZK9	GSONMT00057977001
C0HAL9	RGP1
A0A060WGU3	LOC110523984
A0A060WQU9	GSONMT00005331001
A0A1S3PGV4	LOC106585293
B5X2F6	NDUV1
A0A1S3M4E4	LOC106570380
B5DGD1	txnl1
A0A1S3MRA6	LOC106574193
B5X124	DEOC
A0A060ZAD1	GSONMT00033737001
A0A060W5K9	LOC110526389
A0A1S3S5G7	LOC106607297
B5X7W5	TM50B
A0A060W8Z6	GSONMT00069445001
A0A060XBI2	GSONMT00057690001
A0A060Y107	GSONMT00042370001
B5X5Z0	RS21
A0A1S3QPQ7	LOC106595188
A0A060VXH9	LOC110537166
A0A060Y7Z1	FEN1
A0A1S3L359	LOC106563918
A0A060Y1H8	hadha
A0A060VSE8	LOC110501489
A0A1S3N6B2	ppa1
B5X2Z5	TADBP
A0A060XZD6	GSONMT00060255001
A0A1S3NU68	LOC106581329
A0A1S3PG45	mrps27
A0A060ZHS2	GSONMT00030710001
A0A060X443	RPS6KB2
A0A1S3N2U8	LOC106576802
A0A060X2V0	LOC110535824
A0A060YNB8	GSONMT00051764001
A0A060WCX6	GSONMT00072646001
A0A1S3S0W3	LOC106606425
A0A060WQH0	POR
A0A1S3NNT2	LOC106580466
A0A060WWC6	GSONMT00038778001
A0A060YR13	LOC110502754
B5XG76	G3P
C0HA01	PLPP
A0A060VWD5	GSONMT00079576001
B5X1D0	SF3A3
B5X9F8	PSA5
A0A060VQQ0	GSONMT00069604001
A0A1S3STT5	LOC106611747
A0A1S3RKC2	LOC106603296
A0A1S3S8D2	LOC106607745
A0A060XBB8	GSONMT00000244001
A0A1S3PZ13	LOC106588404
A0A060XT47	abhd4
A0A1S3PPX9	LOC106586702
A0A060WQJ4	GSONMT00052903001
A0A1S3RPL0	LOC106604253
A0A1S3L347	LOC106563851
B5X6C8	FA49B
A0A060YPU8	GSONMT00032733001
A0A060WBU6	GSONMT00071325001
A0A1S3SQS4	LOC106611228
B9X0J7	PepT1
A0A060Y8T3	GSONMT00059721001
A0A060X9Z6	GSONMT00055538001
A0A060YEP7	GSONMT00046111001
A0A060W664	GSONMT00067710001
A0A060YYF9	GSONMT00003529001
B5X1S6	GDIB
A0A060WN05	GSONMT00075410001
A0A1S3SNI8	LOC106610818
A0A1S3QBV0	LOC106590783
A0A1S3RTW5	LOC106604733
A0A1S3N8L4	LOC106577801
A0A1S3PHX0	LOC106585483
A0A060WSJ7	GSONMT00021084001
A0A060XPE1	GSONMT00047322001
B5X8I8	UB2V1
A0A1S3M5S8	LOC106570672
A0A060VYP1	GSONMT00080905001
A0A060YVA7	GSONMT00039581001
A0A060XIC2	EIF3J
B5DGV2	RL10A
A0A1S3T2X2	LOC106613338
A0A060XMP5	GSONMT00023966001
B5XBU2	TPC6B
A0A060XY55	GSONMT00025640001
A0A060XJI1	LOC110502791
B5X999	ANXA3
A0A060WZN2	GSONMT00040375001
A0A1S3MU34	rbm45
A0A1S3N6P3	LOC106577507
B5X9Z0	PFD2
A0A1S3NQT4	LOC100380674
A0A060XIM1	GSONMT00040195001
A0A1S3MTC0	LOC106574870
A0A1S3SKW4	LOC106610253
A0A060WJM9	GSONMT00073231001
A0A060WX47	nmnat1
B9ELE1	S10A1
A0A060XPM3	GSONMT00048222001
C7C1L7	rig-I
A0A1S3NA57	LOC106578227
A0A060W6E3	GSONMT00082474001
A0A060Y6M1	GSONMT00011562001
C1BEI7	TIM9
A0A1S3Q0Q6	pdcd6ip
C0HAA4	EPN1
A0A060WJ02	LOC100136251
A0A1S3T043	LOC106612881
B5X6K4	ADT2
A0A1S3MXR4	LOC106575524
A0A1S3PDP0	LOC106584721
A0A060XQQ3	GSONMT00019491001
A0A060Y5M4	LOC110504661
A0A060ZUT6	GSONMT00022791001
A0A1S3RCL5	LOC106602140
A0A1S3QJE6	LOC106593352
A0A060VW80	GSONMT00079287001
A0A1S3RIT3	LOC106603260
A0A060W925	GSONMT00069845001
A0A060ZGQ5	GSONMT00029489001
A0A1S3RN35	LOC106603967
A0A1S3LWQ4	LOC106568976
B5DGK7	rps8
A0A1S3KNQ3	hrsp12
A0A060XMM8	GSONMT00028114001
A0A1S3MBD9	allc
B5X1K6	ARF4
A0A1S3PVY8	LOC106587741
A0A1S3RM85	LOC106603798
A0A1S3KYQ6	LOC106563120
A0A060W7P5	GSONMT00068557001
C0HAF8	GRP75
A0A060WWT1	LOC110492192
A0A1S3KZK8	LOC106563041
A0A060X145	LOC110506639
A0A1S3Q618	LOC106589688
A0A060WCQ2	LOC110506511
A0A1S3QGC3	LOC106592046
A0A1S3SBM2	aldh8a1
D2XDG3	SGLT1
A0A1S3KK85	LOC106560389
A0A1S3SRA6	LOC106611323
A0A060XA58	GSONMT00045382001
A0A060XMT7	GSONMT00040436001
B5X981	NDUB7
A0A1S3M6Y0	mapk1
A0A060Y577	GSONMT00007231001
A0A060YW48	GSONMT00046485001
A0A1S3NMR0	LOC106580324
B5XC78	FABPI
A0A1S3N1U4	LOC106576571
A0A1S3Q4J9	LOC106589410
A0A1S3PQH8	LOC106586795
A0A060Y646	GSONMT00058315001
A0A1S3RVN4	LOC106605105
A0A060XVD8	LOC110489602
A0A060XNH5	LOC110531845
A0A1S3QIV1	LOC106592876
A0A1S3M8S7	LOC100136579
B5XEV5	NDUS8
B5X1Z0	WDR1
A0A060XCX2	GSONMT00000383001
A0A1S3PW32	cpsf7
A0A1S3T4C5	LOC106613566
C0H785	RL22
A0A060XA94	GSONMT00051732001
A0A060YAT0	GSONMT00055607001
A0A1S3QEN8	LOC106591719
A0A1S3MX88	LOC106575630
A0A1S3LQP7	LOC106567908
A0A060YNQ8	GSONMT00033050001
A0A060X3C7	LOC110486585
A0A060XP09	GSONMT00008400001
B5XEE9	F136A
A0A060ZHM9	GSONMT00021169001
A0A060Z879	GSONMT00000145001
A0A060Y5D0	LOC110499097
A0A1S3KWZ1	LOC106562676
A0A060VUF3	GSONMT00077991001
C1BF22	DYL1
A0A1S3PWT1	LOC106588021
A0A060YKF3	GSONMT00001975001
B5X120	NU107
A0A060XM72	GSONMT00061956001
A0A060XL59	GSONMT00045614001
A0A060Y1P1	GSONMT00018799001
A0A1S3KT83	LOC106561926
A0A1S3PWQ6	LOC106587987
A0A060Y5A4	GSONMT00042832001
A0A1S3RD52	LOC106602282
A0A1S3S0W8	ppl
B5XAG8	CMTD1
A0A1S3L8B3	LOC106565016
A0A060XRN2	LOC110489320
A0A060YE06	GSONMT00013566001
C0H907	SYLC
A0A1S3Q3N5	LOC106588955
B5XDA8	RS19
A0A1S3M9D8	LOC106571276
A0A060W5K6	LOC110486017
A0A060WAW6	PLPP1
A0A060XMV6	GSONMT00017263001
A0A1S3M7G8	LOC106570892
A0A1S3PCY0	LOC106584475
A0A1S3KUC6	LOC106562149
A0A1S3LKA7	LOC106566902
A0A060Y2X7	GSONMT00001107001
A0A060WWF0	LOC110500626
A0A060VSP0	GSONMT00075138001
B5X370	tollip
B5XGH5	NDUBA
A0A060WSB6	GSONMT00011023001
A0A060XRR9	GSONMT00000651001
A0A1S3NJR7	dock5
A0A060YBY0	GSONMT00011726001
A0A060X1Q5	GSONMT00037118001
A0A060WVR1	GSONMT00017586001
A0A1S3QH14	LOC106592454
A0A1S3T330	LOC106613368
A0A1S3M6L2	LOC106570862
A0A1S3Q908	sdr16c5
A0A060YZE3	GSONMT00047589001
A0A060WMJ0	GSONMT00075019001
B5XFR3	VAPA
Q00NV7	TAP1
A0A1S3P0W9	LOC106582566
A0A060W9H2	GSONMT00070142001
A0A060WBN1	GSONMT00067509001
A0A060Y4C3	GSONMT00044767001
B5X251	TOM40
A0A1S3SC15	tkfc
A0A060X8V2	LOC110524524
A0A1S3KYV9	LOC106563141
A0A1S3NQV8	LOC106580837
A0A1S3M9C9	LOC106571274
A0A1S3QW36	LOC106597151
A0A060XRU6	GSONMT00033825001
A0A060WT58	LOC110508855
A0A1S3KRS1	LOC106561658
A0A060YQA3	LOC110494823
A0A060XQT1	PSMD2
A0A1S3MSE9	LOC106574566
A0A060WAT0	LOC110505434
A0A1S3SJS7	LOC106610019
A0A1S3S3G5	LOC106606941
A0A060W372	SERPINB1
B5DGQ3	LOC101448018
A0A060VYN9	LOC110526221
A0A060Z7E6	GSONMT00007797001
A0A1S3R750	sptbn5
B5XFP1	BAF
A0A060XBU2	GSONMT00003848001
A0A060WH16	GSONMT00075023001
A0A1S3RQB3	LOC106604436
A0A1S3RNU3	ctnna1
A0A060XJD5	GSONMT00049178001
B5X3S0	DH12B
A0A060VQS0	GSONMT00070953001
B5DGU9	psd3
A0A1S3LBQ3	atad3
A0A060WF23	GSONMT00069921001
A0A1S3NKZ0	LOC106580033
A0A1S3PMU6	LOC106586310
A0A1S3QFB8	LOC106591444
A0A1S3KVM4	LOC106562358
A0A1S3R945	LOC106600981
A0A060Y6I2	GSONMT00006305001
A0A060W1V2	LOC110522066
A0A060VZV6	rl17
A0A060W9F5	GSONMT00070111001
A0A1S3QM44	LOC106594200
A0A060XC01	GSONMT00060209001
A0A1S3RXT3	LOC106605689
A0A1S3SXB5	LOC106612407
A0A060VTU3	GSONMT00077339001
A0A1S3R1B9	LOC106599297
A0A060XUK0	GSONMT00048645001
A0A1S3SPE9	rtn1
A0A1S3Q925	LOC106590181
A0A060W4M4	GSONMT00080042001
A0A060XZA1	GSONMT00035503001
A0A060XFI2	GSONMT00056269001
A0A060W8I1	GSONMT00068846001
A0A1S3R7N3	aldh16a1
A0A1S3MTC5	LOC106574835
A0A060XC61	GSONMT00014344001
B5X4L7	PCY1A
A0A1S3R196	dhx9
A0A060X3S1	LOC110486604
A0A1S3NJ81	LOC106579802
A0A1S3Q2T3	yars
C0H9U0	MCM2
A0A1S3PAW7	LOC106584205
C0HBN0	RAB7A
A0A060YE32	GSONMT00041901001
A0A060Z215	GSONMT00063198001
A0A060YMY6	GSONMT00041297001
C1BF21	RL23
A0A1S3MCY1	LOC106571954
C0H8Y4	VRK3
A0A060WMI6	gss
C1BEM5	ATPO
A0A060XKF2	GSONMT00016320001
A0A1S3PU01	LOC106587345
A0A060WVD3	GSONMT00028010001
A0A1S3T2U8	LOC106613332
B5X304	PEPL1
B5XBW1	BCAS2
A0A060Y149	GSONMT00055553001
A0A1S3S596	LOC106607257
A0A1S3QCQ1	LOC106591106
A0A060W7F1	acss1
A0A1S3PNZ8	LOC106586346
A0A060X2X6	LOC110521683
A0A060XB41	GSONMT00011170001
B9EMI7	RS17
A0A060YLH1	LOC110521293
A0A060YTZ5	GSONMT00024371001
A0A1S3LL84	LOC106567023
B5X858	NDUV2
A0A1S3PFY6	LOC106585072
A0A060VXL3	GSONMT00068391001
A0A060VS20	LOC110497423
A0A1S3NSL7	LOC106581047
A0A1S3N740	LOC106577431
C0H9I1	ALDOA
A0A1S3LSR9	LOC106567792
B9EMH6	PTAD1
A0A060XQM1	GSONMT00056378001
A0A1S3MPV5	LOC106574143
A0A1S3QCT3	LOC106591134
A0A1S3QL22	LOC106593905
A0A1S3KKB7	ptprc
A0A1S3P4Q3	uroc1
A0A1S3QNF3	LOC106594726
B5X4I1	ADRM1
A0A060YNP9	GSONMT00027332001
A0A060XIQ5	GSONMT00035037001
A0A1S3L794	LOC106564882
B5X3F9	RAB14
A0A060YWG0	GSONMT00033027001
A0A060Z3E3	GSONMT00009649001
B9ENU8	DDX39
A0A1S3Q479	LOC106589362
B5X6K7	PRDX3
A0A060WV89	ACY3
A0A060XJP5	LOC110508937
B5X4W9	CSN3
A0A060YWY3	GSONMT00010099001
A0A060WHI1	GSONMT00070294001
A0A060YG78	GSONMT00043147001
A0A1S3MJG8	LOC106573080
A0A060W8V6	GSONMT00082823001
A0A1S3S6M8	LOC106607509
B5X7M2	NTF2
C0HBT7	HMGB3
A0A060X3D1	LOC110486492
A0A1S3NFX8	LOC106579067
A0A060XEQ9	ube2n
B5X332	SMU1
A0A060YPK1	GSONMT00057670001
A0A060VSK0	LOC110495579
B5XBN1	CDC2
A0A1S3LD46	LOC106565836
A0A1S3SI65	LOC106609608
B5XA49	QCR9
B5DGN4	btf3
A0A060WUD4	GSONMT00029983001
A0A1S3PIC5	LOC106585548
A0A1S3M6Z7	psmg2
C1BI55	GALE
A0A060Z9P9	GSONMT00044590001
A0A1S3QNG7	LOC106594079
A0A060WHZ4	GSONMT00075980001
A0A060WEX2	GSONMT00069791001
A0A060XSB5	LOC110524548
A0A1S3NX81	LOC106581954
A0A1S3SBW9	LOC106608433
A0A060XV78	LOC110525484
B6V6V1	LOC100192341
A0A060Z0N6	GSONMT00023997001
A0A060VUC6	GSONMT00082147001
C0HB02	TXD14
B5DGJ2	rps25
A0A060WQP1	GSONMT00036728001
B5X748	RL24
B5XB84	COF2
B5X141	RAB10
A0A060Z8G0	GSONMT00048462001
C0H8K2	SSB
A0A1S3KNK0	LOC106561161
A0A1S3S9Q7	LOC106608002
B5X5I0	PRS6A
A0A060YEA0	GSONMT00031701001
A0A060Y292	GSONMT00030482001
A0A1S3SRP5	LOC106611380
A0A1S3PA97	exoc1
A0A060ZDN4	GSONMT00005410001
A0A060Y5F1	GSONMT00009411001
A0A1S3NMU9	LOC106580344
A0A060XXF3	LOC110491801
A0A060YH02	GSONMT00036192001
A0A060XBV8	GSONMT00038471001
A0A1S3PQV6	LOC106586883
A0A060Y2F9	GSONMT00009215001
A0A1S3Q4P4	LOC106589465
A0A060W218	GSONMT00064476001
A0A1S3QNZ4	LOC106594924
A0A1S3LJW3	LOC100380735
A0A060XXQ6	ZADH2
A0A060YLW6	GSONMT00041640001
A0A060XAX2	ARMC6
A0A1S3P5E2	LOC106583306
B5X865	ANX2A
A0A1S3N1P6	LOC106576546
