Uniprot	Genename
A0A060VYJ7	GSONMT00080830001
A0A1S3NGN2	LOC106579321
A0A060YF09	GSONMT00013425001
A0A060VZ55	GSONMT00077369001
A0A060X430	GSONMT00055220001
C1BF81	NDUA8
A0A1S3S0U7	LOC106606414
A0A1S3LSH9	LOC106568278
A0A060WBR5	GSONMT00071663001
A0A1S3N325	LOC106576812
A0A060YQH0	GSONMT00017019001
A0A1S3PKJ3	gak
A0A060XCC4	GSONMT00061827001
A0A060W490	GSONMT00065990001
A0A1S3LFG4	LOC106566303
A0A060W8N0	EHD1
A0A060VQZ6	GSONMT00070223001
A0A1S3LRW0	LOC106568136
A0A1S3LTM8	LOC106568273
A0A060WSF9	GSONMT00010247001
A0A060XAH3	GSONMT00057606001
A0A060YIE6	GSONMT00019946001
B5XGH3	eny2-2
A0A060Z8F9	GSONMT00023780001
A0A060WDA9	LOC110490067
A0A1S3R6U8	LOC100196681
A0A060YWA1	LOC110508087
A0A1S3QVP8	LOC106597507
Q29W12	LOC100136541
A0A060VZE7	GSONMT00077582001
A0A060YU23	GSONMT00004504001
C0H9B7	PYRG1
A0A1S3MLI2	LOC106573286
A0A1S3NRA9	LOC106580831
A0A1S3SYE1	LOC106612594
A0A060YAM3	GSONMT00054580001
A0A1S3SUT9	LOC106611940
A0A1S3LKG9	LOC106567096
A0A1S3R814	phop1
A0A1S3N2R9	abcc2
A0A1S3LL10	LOC106567173
A0A060Y0Y7	GSONMT00009889001
A0A060WDC0	nup37
A0A1S3STY2	LOC106611772
A0A060YTN3	GSONMT00063342001
A0A1S3L226	LOC106563634
A0A060XNA5	GSONMT00009389001
A0A060YK60	GSONMT00001443001
A0A060X6F8	GSONMT00004288001
A0A060XPX2	GSONMT00039688001
A0A1S3MLV0	LOC106573550
A0A1S3NW03	LOC106581787
A0A060YJC7	LOC100136296
A0A060YRT6	GSONMT00001376001
B5XA65	LYSC2
A0A1S3SCY2	LOC106608644
A0A060X148	GSONMT00038028001
A0A1S3NCF2	vav3
A0A060WRU1	LOC110490236
A0A060YAT7	prdx6
A0A060XNG0	GSONMT00058886001
A0A060WMM3	rrp12
A0A1S3RCT7	LOC106602021
A0A060WUR7	GSONMT00009768001
A0A060X9H3	GSONMT00011649001
A0A060Y331	GSONMT00043150001
A0A1S3LG86	LOC106566386
A0A1S3RAH8	LOC106601579
A0A1S3PB88	LOC106584286
B5X1A1	IVD
A0A060YRR1	GSONMT00055623001
A0A060WWJ2	GSONMT00039591001
A0A060YRP8	GSONMT00046245001
A0A1S3L7Q2	LOC106564957
B5XBG4	PPCT
A0A060Y0I2	GSONMT00032114001
A0A060WC46	GSONMT00067819001
A0A1S3RTV7	LOC106605032
A0A1S3RC94	LOC106602055
A0A1S3KZ73	LOC106563179
A0A1S3RH85	apoo
A0A060X6K3	GSONMT00056780001
A0A1S3KKZ7	LOC106560692
A0A060WFS6	APOH
C0H987	MAON
A0A1S3L394	LOC106563967
A0A060WWM7	GSONMT00062302001
A0A1S3MJJ0	ttc38
C1BG67	HBB4
A0A060X4I5	ENPP7
A0A060VVT9	LOC110507769
A0A1S3NEP9	LOC106579012
A0A060Z2H3	GSONMT00031151001
A0A060WSI9	GSONMT00001315001
A0A1S3KJ37	LOC106560322
A0A1S3NGB5	LOC106579262
A0A1S3NWR3	cog3
A0A060XW06	GSONMT00002838001
A0A060YP37	GSONMT00058133001
A0A1S3MJJ1	LOC106572968
A0A060WQK8	GSONMT00061458001
B5XGB9	ATPD
A0A060Y650	GSONMT00011699001
A0A1S3LZB2	LOC106569427
A0A060Z294	LSM4
B5X229	RHOC
A0A060YQL4	GSONMT00035947001
A0A1S3SA13	rtn10
B5X2Y7	RAB3D
A0A1S3KNI6	LOC106561153
B5DGS5	LOC100194641
A0A060VML0	GSONMT00076641001
A0A060YKJ3	GSONMT00016130001
A0A1S3QG51	LOC106591986
A0A060WN86	GSONMT00042088001
A0A060XV49	LOC110531631
A0A060VV91	LOC110534455
A0A060VZD9	GSONMT00077567001
B5X3U9	GCDH
A0A060XBH1	GSONMT00063640001
A0A060Y275	GSONMT00000496001
A0A060W507	LOC110526393
C1BEH9	H2A
C0HBT4	EFHD2
A0A1S3PYP9	LOC106588412
A0A1S3MV65	LOC106575231
A0A060YBS8	GSONMT00015052001
A0A060XRB7	LOC110533358
A0A1S3NX19	LOC106581942
A0A060Y0T9	LOC110503015
A0A060YYA1	GSONMT00039219001
A0A1S3KKT1	LOC106560661
A0A1S3M0S3	LOC106569734
A0A060XG40	sycn
A0A061A6V0	GSONMT00004462001
A0A1S3PNI6	LOC106586269
A0A060Y6A8	GSONMT00055804001
Q8HX44	UBA
A0A1S3KRA4	sardh
A0A060YLA8	APOC-Ib
A0A1S3LL24	LOC106566996
A0A1S3M1G1	eppk1
A0A1S3P542	smpdl3b
A0A060XUU7	GSONMT00000497001
A0A060WQ70	GSONMT00010900001
A0A1S3LCY0	LOC106565588
A0A1S3LTR5	LOC106568500
A0A1S3N0U9	LOC106576445
Q0ZBS0	MIF
A0A060YKF6	GSONMT00032640001
A0A060VZQ2	GSONMT00074589001
A0A1S3RZB2	LOC106605766
A0A060YBL0	GSONMT00014735001
A0A060WD92	LOC110524109
A0A1S3MI61	LOC106572703
A0A1S3N6W1	LOC106577549
A0A1S3MA64	LOC106571464
A0A060YMA3	GSONMT00044049001
A0A060XXX8	GSONMT00061043001
A0A060W8M2	GSONMT00069241001
A0A060YA08	GSONMT00060798001
A0A060XSJ5	GSONMT00009493001
A0A061ACB4	GSONMT00041856001
A0A060XJK5	GSONMT00008796001
A0A060YD20	GSONMT00028988001
A0A060YWZ5	GSONMT00015677001
A0A060X8T3	GSONMT00001684001
A0A060Z9Z0	GSONMT00029817001
A0A060Y6F8	GSONMT00017234001
A0A060Z0U9	GSONMT00020065001
B5X1E5	PDXK
A0A060XEC9	GSONMT00006165001
A0A060XZF0	GSONMT00026104001
A0A060X7P1	LOC110494061
A0A1S3SHZ7	LOC106609556
A0A1S3QGL9	LOC106592131
A0A060Y6D0	GSONMT00055757001
A0A060XSW8	GSONMT00022557001
A0A060ZGH3	GSONMT00000201001
A0A060YB73	GSONMT00025906001
A0A1S3KK43	exoc2
B5X4C8	HEXA
A0A060Z590	GSONMT00017921001
C0H939	ARP2A
A0A060WLI2	GSONMT00060171001
